nsubj,correct_root,wrong_root,original_sentence,masked_sentence,bert_large_uncase,bert_base_uncase,SL,SVD,All_NN_BEF,NV_BEF,SL_BEF,Attractor,NEAR_NVD,Attractor%,
images,assist,assists,"the images in combination assist a great deal in understanding the process , and the uniform style of the series looks very professional .","the images in combination [MASK] a great deal in understanding the process , and the uniform style of the series looks very professional .",assist,assist,24,3,1,0,4,1,1,,
resources,include,includes,the untapped natural resources of the island include geothermal power and the abundant sulfur and gypsum deposits .,the untapped natural resources of the island [MASK] geothermal power and the abundant sulfur and gypsum deposits .,include,includes,18,4,1,0,7,1,1,,
fans,seem,seems,wynonna 's fans and author john o'dowd seem to think a lot of stacy 's music row report .,wynonna 's fans and author john o'dowd [MASK] to think a lot of stacy 's music row report .,seems,seem,19,5,1,0,7,1,3,,
buildings,include,includes,"new buildings for the 21st century include a technology block , sports hall and drama studio , together with the catermole block housing the new purpose-built library .","new buildings for the 21st century [MASK] a technology block , sports hall and drama studio , together with the catermole block housing the new purpose-built library .",include,include,28,5,1,0,6,1,1,,
features,include,includes,"some distinguishing features of his sanskrit poetry include use of rhyme ( antyānuprāsa ) , employment of a variety of metres including many prakrit and hindi metres , new usages , and the gīti style .","some distinguishing features of his sanskrit poetry [MASK] use of rhyme ( antyānuprāsa ) , employment of a variety of metres including many prakrit and hindi metres , new usages , and the gīti style .",include,include,36,5,1,1,7,1,1,,
banks,have,has,"banks such as sbi , uco bank , bank of india , icici bank , hdfc bank , pnb , axis bank have their branches here .","banks such as sbi , uco bank , bank of india , icici bank , hdfc bank , pnb , axis bank [MASK] their branches here .",have,has,27,22,0,0,22,0,none,,
names,include,includes,"other names in common use include serine ethanolamine phosphodiester phosphodiesterase , and sep diesterase .","other names in common use [MASK] serine ethanolamine phosphodiester phosphodiesterase , and sep diesterase .",include,include,15,4,1,0,5,1,1,,
expenses,include,includes,"expenses covered in rent include internet , cable , water , sewer , and trash utility costs .","expenses covered in rent [MASK] internet , cable , water , sewer , and trash utility costs .",include,include,18,4,1,1,4,1,1,,
features,include,includes,geological features of the region include the volcanic monte vulture and the seismic faults in the melfi and potenza areas in the north and around monte pollino in the south .,geological features of the region [MASK] the volcanic monte vulture and the seismic faults in the melfi and potenza areas in the north and around monte pollino in the south .,include,include,31,4,1,0,5,1,1,,
stopes,follow,follows,stopes ( areas where ore was removed ) usually follow the ore vein and are often at steep angles to horizontal .,stopes ( areas where ore was removed ) usually [MASK] the ore vein and are often at steep angles to horizontal .,follow,follow,22,9,2,1,9,1,5,,
recordings,exist,exists,"however , off air u-matic recordings of the original broadcast exist with the ending intact , and have been used to restore the ending on the vhs and subsequent dvd release .","however , off air u-matic recordings of the original broadcast [MASK] with the ending intact , and have been used to restore the ending on the vhs and subsequent dvd release .",exist,exist,32,5,1,0,10,1,7,,
explanations,include,includes,proposed explanations for this kick include convection in the collapsing star and jet production during neutron star formation .,proposed explanations for this kick [MASK] convection in the collapsing star and jet production during neutron star formation .,include,include,19,4,1,1,5,1,1,,
parts,have,has,different parts of the skin have different degrees of innervation ; your fingertips are more sensitive to touch than the middle of your back .,different parts of the skin [MASK] different degrees of innervation ; your fingertips are more sensitive to touch than the middle of your back .,have,have,25,4,1,0,5,1,1,,
claims,seem,seems,the claims to notability seem to be that he has a blog and has written a book .,the claims to notability [MASK] to be that he has a blog and has written a book .,seem,seems,18,3,1,0,4,1,1,,
shelters,do,does,"the cathedral shelters the image of são francisco de paula , by an unknown artist , which was brought from colônia do sacramento .","the cathedral shelters the image of são francisco de paula , by an unknown artist , which was brought from colônia [MASK] sacramento .",do,do,24,19,3,2,21,3,1,,
consumers,have,has,the five biggest consumers of electricity in india have private off-grid supplies .,the five biggest consumers of electricity in india [MASK] private off-grid supplies .,have,have,13,5,1,0,8,1,3,,
variations,include,includes,variations of this theme include numerical simulations that incorporate random distributions of impurities ( random pinning model ) .,variations of this theme [MASK] numerical simulations that incorporate random distributions of impurities ( random pinning model ) .,include,include,19,4,1,0,4,1,1,,
features,include,includes,"important interior features of the building include the 94-foot-high rotunda , with its glass-and steel-dome , and the 50-foot-high reading room , with its large arched windows .","important interior features of the building [MASK] the 94-foot-high rotunda , with its glass-and steel-dome , and the 50-foot-high reading room , with its large arched windows .",include,include,28,4,1,0,6,1,1,,
measures,include,includes,"for example , some measures of ethnic identity development include measures of behaviors , such as eating ethnic food or participating in customs specific to an ethnic group .","for example , some measures of ethnic identity development [MASK] measures of behaviors , such as eating ethnic food or participating in customs specific to an ethnic group .",include,include,29,5,3,0,9,3,1,,
figures,have,has,"many figures , past and present , have an aura of mystery about them but are notable nonetheless .","many figures , past and present , [MASK] an aura of mystery about them but are notable nonetheless .",have,have,19,6,0,0,7,0,none,,
tributaries,include,includes,"major tributaries of the river include the makakahi , mangahao , pohangina and oroua rivers .","major tributaries of the river [MASK] the makakahi , mangahao , pohangina and oroua rivers .",include,include,16,4,1,0,5,1,1,,
poems,include,includes,"new poems in this edition include sur la mort de marie , the sonnets for astrée and the sonnets pour hélène .","new poems in this edition [MASK] sur la mort de marie , the sonnets for astrée and the sonnets pour hélène .",include,include,22,4,1,0,5,1,1,,
names,include,includes,"other names in common use include p-hydroxybenzoate hydrolyase , p-hydroxybenzoate hydroxylase , 4-hydroxybenzoate 3-hydroxylase , 4-hydroxybenzoate monooxygenase , 4-hydroxybenzoic hydroxylase , p-hydroxybenzoate-3-hydroxylase , p-hydroxybenzoic acid hydrolase , p-hydroxybenzoic acid hydroxylase , and p-hydroxybenzoic hydroxylase .","other names in common use [MASK] p-hydroxybenzoate hydrolyase , p-hydroxybenzoate hydroxylase , 4-hydroxybenzoate 3-hydroxylase , 4-hydroxybenzoate monooxygenase , 4-hydroxybenzoic hydroxylase , p-hydroxybenzoate-3-hydroxylase , p-hydroxybenzoic acid hydrolase , p-hydroxybenzoic acid hydroxylase , and p-hydroxybenzoic hydroxylase .",include,include,35,4,1,0,5,1,1,,
eggs,live,lives,the eggs and larvae of warty oreos live on or near the surface of the sea .,the eggs and larvae of warty oreos [MASK] on or near the surface of the sea .,live,live,17,6,2,0,7,1,4,,
statistics,indicate,indicates,"the revision history statistics of 2002 gujarat violence indicate that there have been 3857 edits made by 1073 users , made over a period of almost 10 years .","the revision history statistics of 2002 gujarat violence [MASK] that there have been 3857 edits made by 1073 users , made over a period of almost 10 years .",indicate,indicate,29,5,4,0,8,4,1,,
questions,remain,remains,"for these reasons , some important questions about the history of the lahngau remain unsettled .","for these reasons , some important questions about the history of the lahngau [MASK] unsettled .",remain,remain,16,7,3,0,13,2,1,,
fragments,remain,remains,some fragments of the old moat remain .,some fragments of the old moat [MASK] .,remain,remain,8,5,1,0,6,1,1,,
systems,have,has,"these various systems of measurement have at times been called foot-pound-second systems after the imperial units for length , weight and time even though the tons , hundredweights , gallons , and nautical miles , for example , are different for the u .","these various systems of measurement [MASK] at times been called foot-pound-second systems after the imperial units for length , weight and time even though the tons , hundredweights , gallons , and nautical miles , for example , are different for the u .",have,have,44,3,1,0,5,1,1,,
remnants,remain,remains,some remnants of this industry remain today on the clober industrial estate .,some remnants of this industry [MASK] today on the clober industrial estate .,remain,remain,13,4,1,0,5,1,1,,
attractions,include,includes,"attractions in the town include a sacred grove of trees , a museum and caves .","attractions in the town [MASK] a sacred grove of trees , a museum and caves .",include,include,16,4,1,0,4,1,1,,
schools,include,includes,"private schools in the area include cardinal newman high school , the king 's academy and oxbridge academy .","private schools in the area [MASK] cardinal newman high school , the king 's academy and oxbridge academy .",include,include,19,4,1,0,5,1,1,,
articles,have,has,"articles created as part of a promotional campaign have no place on wikipedia , no matter how good they are .","articles created as part of a promotional campaign [MASK] no place on wikipedia , no matter how good they are .",have,have,21,8,2,1,8,2,1,,
causes,include,includes,"common causes of excessive lordosis include tight low back muscles , excessive visceral fat , and pregnancy .","common causes of excessive lordosis [MASK] tight low back muscles , excessive visceral fat , and pregnancy .",include,include,18,4,1,0,5,1,1,,
foundations,protect,protects,"foundations for the tank , protect the container from damage and maintain relative relationships between tank and plumbing ( pumps , pipe , valves and tank fittings ) high wind and seismic considerations should always be integrated into the foundation design math .","foundations for the tank , [MASK] the container from damage and maintain relative relationships between tank and plumbing ( pumps , pipe , valves and tank fittings ) high wind and seismic considerations should always be integrated into the foundation design math .",protect,protect,43,5,1,0,5,1,2,,
colours,reflect,reflects,"the club 's colours of claret and blue reflect those of founding secretary terry mcintyre 's favourite team , west ham united .","the club 's colours of claret and blue [MASK] those of founding secretary terry mcintyre 's favourite team , west ham united .",reflect,reflect,23,5,2,0,8,2,3,,
walls,contain,contains,"the outside walls of the church contain 200 painted sculptures of humans , angels , monkeys , fruit , corn , and birds of all different colors .","the outside walls of the church [MASK] 200 painted sculptures of humans , angels , monkeys , fruit , corn , and birds of all different colors .",contain,contain,28,4,1,0,6,1,1,,
albums,continue,continues,since then compilation albums of his work continue to appear with a recent example being anglo-american .,since then compilation albums of his work [MASK] to appear with a recent example being anglo-american .,continue,continue,17,4,2,0,7,2,1,,
sections,include,includes,"particular sections of note include the church of the santissima annuziata , which was built at the end of the 13th century but then completely renovated towards the end of the 15th century , and the pellegrinaio .","particular sections of note [MASK] the church of the santissima annuziata , which was built at the end of the 13th century but then completely renovated towards the end of the 15th century , and the pellegrinaio .",include,include,38,3,1,0,4,1,1,,
consumers,have,has,"in present day society , there is no doubt that consumers around the world have knowledge and interest in advertising .","in present day society , there is no doubt that consumers around the world [MASK] knowledge and interest in advertising .",have,have,21,4,4,1,14,4,1,,
paintings,remain,remains,"these paintings , completed in 1670 , hung in london 's guildhall until it was bombed during world war ii ; today only two ( those of sir matthew hale and sir hugh wyndham ) remain in the guildhall art gallery the remainder having been destroyed or dispersed .","these paintings , completed in 1670 , hung in london 's guildhall until it was bombed during world war ii ; today only two ( those of sir matthew hale and sir hugh wyndham ) [MASK] in the guildhall art gallery the remainder having been destroyed or dispersed .",remain,remains,49,34,2,3,35,2,14,,
users,indicate,indicates,users in this category indicate they have knowledge of the zazaki language .,users in this category [MASK] they have knowledge of the zazaki language .,indicate,indicate,13,4,1,0,4,1,1,,
voyages,seem,seems,late medieval voyages of the indian ocean trade seem quite long ago even for the extreme overpopulation of rats observed by leguat to develop .,late medieval voyages of the indian ocean trade [MASK] quite long ago even for the extreme overpopulation of rats observed by leguat to develop .,seem,seem,25,6,0,0,8,0,none,,
articles,have,has,"many articles , such as this featured list , have cut-off points that are fairly arbitrary but explicit and produce very few false positives .","many articles , such as this featured list , [MASK] cut-off points that are fairly arbitrary but explicit and produce very few false positives .",have,have,25,8,1,1,9,1,2,,
parts,face,faces,"all parts of the building face a courtyard that has a fountain , california pepper trees and other plants .","all parts of the building [MASK] a courtyard that has a fountain , california pepper trees and other plants .",face,face,20,4,1,0,5,1,1,,
landmarks,include,includes,"landmarks from the mid-19th century include culter 's park , or winter quarters '' located in florence , and fontenelle 's post located south of the city .","landmarks from the mid-19th century [MASK] culter 's park , or winter quarters '' located in florence , and fontenelle 's post located south of the city .",include,include,28,5,1,0,5,1,1,,
parts,follow,follows,parts of the present-day roadway follow the course yorath laid out .,parts of the present-day roadway [MASK] the course yorath laid out .,follow,follow,12,5,0,0,5,0,none,,
statistics,indicate,indicates,combined statistics of american and nato experience indicate that the average number of precision weapons per designated mean point of impact ( dmpi ) destroyed was 2 .,combined statistics of american and nato experience [MASK] that the average number of precision weapons per designated mean point of impact ( dmpi ) destroyed was 2 .,indicate,indicate,28,6,1,1,7,1,1,,
names,include,includes,"other names in common use include methylthioribose 1-phosphate isomerase , 1-pmtr isomerase , 5-methylthio-5-deoxy-d-ribose-1-phosphate ketol-isomerase , s-methyl-5-thio-5-deoxy-d-ribose-1-phosphate ketol-isomerase , s-methyl-5-thio-5-deoxy-d-ribose-1-phosphate , aldose-ketose-isomerase , 1-phospho-5'-s-methylthioribose isomerase , and s-methyl-5-thio-d-ribose-1-phosphate aldose-ketose-isomerase .","other names in common use [MASK] methylthioribose 1-phosphate isomerase , 1-pmtr isomerase , 5-methylthio-5-deoxy-d-ribose-1-phosphate ketol-isomerase , s-methyl-5-thio-5-deoxy-d-ribose-1-phosphate ketol-isomerase , s-methyl-5-thio-5-deoxy-d-ribose-1-phosphate , aldose-ketose-isomerase , 1-phospho-5'-s-methylthioribose isomerase , and s-methyl-5-thio-d-ribose-1-phosphate aldose-ketose-isomerase .",include,include,30,4,1,0,5,1,1,,
contributions,include,includes,"chudnovsky 's contributions to graph theory include the proof of the strong perfect graph theorem ( with robertson , seymour , and thomas ) characterizing perfect graphs as being exactly the graphs with no odd induced cycles of length at least 5 or their complements .","chudnovsky 's contributions to graph theory [MASK] the proof of the strong perfect graph theorem ( with robertson , seymour , and thomas ) characterizing perfect graphs as being exactly the graphs with no odd induced cycles of length at least 5 or their complements .",includes,includes,46,4,2,0,6,2,1,,
rooms,have,has,"the rooms on the piano nobile ( the first floor ) have frescoes and friezes by artists such as giacinto gimignani , gaspard dughet , andrea camassei , giacinto brandi , francesco allegrini , and pier francesco mola .","the rooms on the piano nobile ( the first floor ) [MASK] frescoes and friezes by artists such as giacinto gimignani , gaspard dughet , andrea camassei , giacinto brandi , francesco allegrini , and pier francesco mola .",have,has,39,10,2,0,11,2,2,,
people,include,includes,"people representing the brand include combs himself , musicians such as nelly , t .","people representing the brand [MASK] combs himself , musicians such as nelly , t .",include,include,15,4,1,1,4,1,1,,
towns,include,includes,"towns along the river include ballymore eustace , athgarvan , kilcullen , newbridge , caragh , clane , celbridge , leixlip and lucan before the river reaches the city of dublin as it approaches its mouth .","towns along the river [MASK] ballymore eustace , athgarvan , kilcullen , newbridge , caragh , clane , celbridge , leixlip and lucan before the river reaches the city of dublin as it approaches its mouth .",include,include,37,4,1,0,4,1,1,,
winners,receive,receives,"at the end of the regular season , the winners of each conference receive playoff berths .","at the end of the regular season , the winners of each conference [MASK] playoff berths .",receive,receive,17,4,3,0,13,3,1,,
admirers,include,includes,"admirers of the novel include albert einstein , ludwig wittgenstein , franz kafka is another writer who felt immensely indebted to dostoyevsky and the brothers karamazov for influencing his own work .","admirers of the novel [MASK] albert einstein , ludwig wittgenstein , franz kafka is another writer who felt immensely indebted to dostoyevsky and the brothers karamazov for influencing his own work .",include,include,32,4,1,0,4,1,1,,
factions,continue,continues,"for example , factions within the pakistan government continue to support taliban terrorists in afghanistan .","for example , factions within the pakistan government [MASK] to support taliban terrorists in afghanistan .",continue,continue,16,5,1,0,8,1,7,,
perspectives,exist,exists,"diverse perspectives on homosexuality exist amongst new liberated muslims , ranging from condemnation through to the muslim canadian congress 's welcome for legislation redefining marriage to include same-sex partners .","diverse perspectives on homosexuality [MASK] amongst new liberated muslims , ranging from condemnation through to the muslim canadian congress 's welcome for legislation redefining marriage to include same-sex partners .",exist,exist,30,3,1,0,4,1,1,,
macauleys,include,includes,"the macauleys surf break is popular with both local and visiting surfers ; other popular activities at the beach include sunbathing , swimming , kite surfing , diving , fishing , snorkelling , spear fishing and walking .","the macauleys surf break is popular with both local and visiting surfers ; other popular activities at the beach [MASK] sunbathing , swimming , kite surfing , diving , fishing , snorkelling , spear fishing and walking .",include,include,38,18,5,1,19,3,1,,
attractions,include,includes,"attractions listed in the park include hensley 's settlement , the pinnacle overlook , the sand cave , and the white rocks overlooking the towns of ewing and rose hill .","attractions listed in the park [MASK] hensley 's settlement , the pinnacle overlook , the sand cave , and the white rocks overlooking the towns of ewing and rose hill .",include,include,31,5,1,1,5,1,1,,
hangars,exist,exists,"four hangars on the flightline area exist , one gutted by fire and the others that are standing appear to be unsafe and ready to collapse .","four hangars on the flightline area [MASK] , one gutted by fire and the others that are standing appear to be unsafe and ready to collapse .",exists,exists,27,5,1,0,6,1,1,,
residents,wear,wears,many residents of the city wear indigenous clothing regularly .,many residents of the city [MASK] indigenous clothing regularly .,wear,wear,10,4,1,0,5,1,1,,
portions,extend,extends,"located in gray county , small portions of the district extend into collingsworth , donley , and wheeler counties .","located in gray county , small portions of the district [MASK] into collingsworth , donley , and wheeler counties .",extend,extend,20,4,2,1,10,2,1,,
sites,include,includes,"other sites of drug metabolism include epithelial cells of the gastrointestinal tract , lungs , kidneys , and the skin .","other sites of drug metabolism [MASK] epithelial cells of the gastrointestinal tract , lungs , kidneys , and the skin .",include,include,21,4,2,0,5,2,1,,
locomotives,include,includes,"other locomotives that have been on the railway but now gone elsewhere include gwr 2251 class 3205 which is now on the south devon railway , the following locomotives are currently based on the west somerset railway but may sometimes be away from the line .","other locomotives that have been on the railway but now gone elsewhere [MASK] gwr 2251 class 3205 which is now on the south devon railway , the following locomotives are currently based on the west somerset railway but may sometimes be away from the line .",include,include,46,11,1,1,12,1,5,,
descendants,handle,handles,"the descendants of the decorator class handle the logic , for example performing a calculation .","the descendants of the decorator class [MASK] the logic , for example performing a calculation .",handle,handle,16,5,2,0,6,2,1,,
members,go,goes,the three remaining members of the team then go on a rescue mission to free hurricane from the mystery villain that has caused all this .,the three remaining members of the team then [MASK] on a rescue mission to free hurricane from the mystery villain that has caused all this .,go,go,26,5,1,1,8,1,2,,
aspects,remain,remains,some other aspects of its tourism infrastructure remain somewhat underdeveloped however .,some other aspects of its tourism infrastructure [MASK] somewhat underdeveloped however .,remain,remain,12,5,2,0,7,2,1,,
sources,include,includes,"major sources of employment include education , steel and food service .","major sources of employment [MASK] education , steel and food service .",include,include,12,3,1,0,4,1,1,,
schools,include,includes,"other schools in the area include samuel scheck hillel community day school , dade christian school , palmer trinity school , and westminster christian school .","other schools in the area [MASK] samuel scheck hillel community day school , dade christian school , palmer trinity school , and westminster christian school .",include,include,26,4,1,0,5,1,1,,
changes,include,includes,some changes in version 2 include improvements to gdm and bug fixes .,some changes in version 2 [MASK] improvements to gdm and bug fixes .,include,include,13,4,1,0,5,1,2,,
