nsubj,correct_root,wrong_root,original_sentence,masked_sentence,bert_large_uncase,bert_base_uncase,SL,SVD,All_NN_BEF,NV_BEF,SL_BEF,Attractor,NEAR_NVD,Attractor%,
chapter,illustrates,illustrate,"The present chapter which draws heavily upon and develops arguments first presented in Griffiths and Johnston 1991 illustrates these points and advances the arguments presented throughout the book
","The present chapter which draws heavily upon and develops arguments first presented in Griffiths and Johnston 1991 [MASK] these points and advances the arguments presented throughout the book
",illustrates,illustrates,28,15,1,3,17,1,8,,sg
ingenuity,was,were,"The tenacity ingenuity and resourcefulness of the women involved in these Groups ' activities was remarkable for the sheer depth of social and material capacities which it uncovered
","The tenacity ingenuity and resourcefulness of the women involved in these Groups ' activities [MASK] remarkable for the sheer depth of social and material capacities which it uncovered
",was,were,28,12,4,1,14,2,1,,sg
feature,was,were,"A characteristic feature of the response to the major economic depression of the 1930s in most of the developed countries of the world was the rapid growth of what was termed the welfare state which is now under severe attack as a political response to the recession of the 1970s and 1980s
","A characteristic feature of the response to the major economic depression of the 1930s in most of the developed countries of the world [MASK] the rapid growth of what was termed the welfare state which is now under severe attack as a political response to the recession of the 1970s and 1980s
",was,was,52,21,5,1,23,2,4,,sg
element,concerns,concern,"The final element of the geography of the South which contributes to this chapter 's paradox concerns its growth as a major manufacturing region of the United States since about 1960
","The final element of the geography of the South which contributes to this chapter 's paradox [MASK] its growth as a major manufacturing region of the United States since about 1960
",concern,concern,31,14,3,1,16,0,none,,sg
body,suggests,suggest,"The small body of research that exists on female students in higher education suggests that women in higher education are faced continually with contradiction
","The small body of research that exists on female students in higher education [MASK] that women in higher education are faced continually with contradiction
",suggests,suggests,24,11,3,1,13,1,4,,sg
difference,is,are,"The essential difference therefore between this course and more conventional university courses is that it is very explicitly geared to the needs of industry and students spend one year on industrial placement
","The essential difference therefore between this course and more conventional university courses [MASK] that it is very explicitly geared to the needs of industry and students spend one year on industrial placement
",is,is,32,10,3,0,12,1,1,,sg
remark,was,were,"The following remark for example made in the realization that physics was both something less and something more than an objective body of knowledge was very similar to remarks made by the arts students about English
","The following remark for example made in the realization that physics [MASK] both something less and something more than an objective body of knowledge was very similar to remarks made by the arts students about English
",was,was,36,9,3,1,11,0,none,,sg
language,reveals,reveal,"The language of hard and soft subjects which can extend into the discipline itself as in the derogatory description of astro-physics reveals a perception of academic study in which subjects are tiered with hard sciences at the top and soft arts at the bottom
","The language of hard and soft subjects which can extend into the discipline itself as in the derogatory description of astro-physics [MASK] a perception of academic study in which subjects are tiered with hard sciences at the top and soft arts at the bottom
",reveals,reveal,44,20,4,1,21,1,15,,sg
bedroom,was,were,"The bedroom smelled of her musky perfume on the floor by the bed was her diary
","The bedroom smelled of her musky perfume on the floor by the bed [MASK] her diary
",was,was,16,12,3,1,13,0,none,,sg
forum,is,are,"The appropriate forum for the correction of the Court of Appeal 's errors is the House of Lords where the decision will at least have the merit of being final and binding subject only to the House 's power to review its own decisions
","The appropriate forum for the correction of the Court of Appeal 's errors [MASK] the House of Lords where the decision will at least have the merit of being final and binding subject only to the House 's power to review its own decisions
",is,is,44,11,2,0,13,1,1,,sg
element,was,were,"The essential element which gives rise to the duty in the words of the Lord Morris was a special relationship between the parties
","The essential element which gives rise to the duty in the words of the Lord Morris [MASK] a special relationship between the parties
",was,was,23,14,3,1,16,1,5,,sg
formality,concerns,concern,"The only formality required of a person who wishes to commence trading in this way concerns the naming of the business
","The only formality required of a person who wishes to commence trading in this way [MASK] the naming of the business
",concern,concern,21,13,2,4,15,0,none,,sg
reason,is,are,"A fundamental reason for the formation of a company as a form of business enterprise is the protection of limited liability which it affords to members
","A fundamental reason for the formation of a company as a form of business enterprise [MASK] the protection of limited liability which it affords to members
",is,is,26,13,5,0,15,0,none,,sg
occupier,does,do,"the occupier of premises does not owe any such duty to a trespasser he does not owe to the trespasser a duty to take such care as in all the circumstances of the case is reasonable to see that the trespasser will be reasonably safe in using the premises for the purposes for which he is trespassing
","the occupier of premises [MASK] not owe any such duty to a trespasser he does not owe to the trespasser a duty to take such care as in all the circumstances of the case is reasonable to see that the trespasser will be reasonably safe in using the premises for the purposes for which he is trespassing
",do,does,57,3,1,0,4,1,1,,sg
duty,requires,require,"The duty to ensure that the premises are reasonably safe either under the OLA 1957 or at common law only requires the occupier to do that which is reasonably practicable to ensure the safety of visitors to the premises
","The duty to ensure that the premises are reasonably safe either under the OLA 1957 or at common law only [MASK] the occupier to do that which is reasonably practicable to ensure the safety of visitors to the premises
",requires,requires,39,19,2,1,20,1,14,,sg
stucco,was,were,"The stucco on the houses that rose like cliffs of grey stone in the rue de Sèvres was enough to depress me in itself blotched as it was with building acne let alone the drains blocked with refuse and the greasy pipes round which foaming suds slept fitfully
","The stucco on the houses that rose like cliffs of grey stone in the rue de Sèvres [MASK] enough to depress me in itself blotched as it was with building acne let alone the drains blocked with refuse and the greasy pipes round which foaming suds slept fitfully
",was,was,48,16,3,1,17,2,9,,sg
person,was,were,"The person who was putting one step in front of the other across the field to the lane was not me somehow
","The person who was putting one step in front of the other across the field to the lane [MASK] not me somehow
",was,was,22,17,4,1,18,0,none,,sg
reason,was,were,"The reason I would not go and live there for six days let alone six months was segregation
","The reason I would not go and live there for six days let alone six months [MASK] segregation
",was,was,18,15,2,3,16,2,1,,sg
approach,is,are,"The approach which is adopted in this book and which is described in this introductory chapter is a variety of contextual approach it is assumed that the semantic properties of a lexical item are fully reflected in appropriate aspects of the relations it contracts with actual and potential contexts
","The approach which is adopted in this book and which is described in this introductory chapter [MASK] a variety of contextual approach it is assumed that the semantic properties of a lexical item are fully reflected in appropriate aspects of the relations it contracts with actual and potential contexts
",is,is,49,15,2,2,16,0,none,,sg
study,rests,rest,"Any empirical study a category to which lexical semantics as outlined in this book undoubtedly belongs rests at some point on a body of primary data whose factuality is not questioned and which is not subjected to further analysis
","Any empirical study a category to which lexical semantics as outlined in this book undoubtedly belongs [MASK] at some point on a body of primary data whose factuality is not questioned and which is not subjected to further analysis
",rests,rests,39,14,3,2,16,1,8,,sg
model,is,are,"An extremely useful model of the meaning of a word which can be extracted from the contextual relations is one in which it is viewed as being made up at least in part of the meanings of other words
","An extremely useful model of the meaning of a word which can be extracted from the contextual relations [MASK] one in which it is viewed as being made up at least in part of the meanings of other words
",is,is,39,15,3,1,18,1,1,,sg
indication,is,are,"An important indication although as we shall see not a sufficient one that a portion of a sentence is a semantic constituent is that its semantic contribution to the sentence is the same as that which it makes to other different sentences in other words it carries what is in some sense a constant meaning from context to context
","An important indication although as we shall see not a sufficient one that a portion of a sentence [MASK] a semantic constituent is that its semantic contribution to the sentence is the same as that which it makes to other different sentences in other words it carries what is in some sense a constant meaning from context to context
",is,is,59,16,3,1,18,0,none,,sg
test,is,are,"An important diagnostic test for semantic constituency and one which utilises one of the basic intuitive judgements introduced in the previous chapter is the test of recurrent semantic contrast 
","An important diagnostic test for semantic constituency and one which utilises one of the basic intuitive judgements introduced in the previous chapter [MASK] the test of recurrent semantic contrast 
",is,is,30,19,3,2,22,1,6,,sg
process,demonstrates,demonstrate,"The same process carried out on true idioms dramatically demonstrates the difference between the two types of expression
","The same process carried out on true idioms dramatically [MASK] the difference between the two types of expression
",demonstrates,demonstrates,18,7,1,1,9,1,2,,sg
fact,provides,provide,"The fact that the occurrences of open in 73b c and d exemplify a regular correlation between semantic and grammatical properties provides a justification for regarding them as lexically distinct
","The fact that the occurrences of open in 73b c and d exemplify a regular correlation between semantic and grammatical properties [MASK] a justification for regarding them as lexically distinct
",provides,provides,30,20,5,1,21,2,1,,sg
approach,is,are,"A better approach to the study of the semantic relations between two lexical items X and Y is to operate directly in terms of meaning and look at semantic relations between parallel sentences in which X and Y occupy identical structural positions
","A better approach to the study of the semantic relations between two lexical items X and Y [MASK] to operate directly in terms of meaning and look at semantic relations between parallel sentences in which X and Y occupy identical structural positions
",is,are,42,15,3,0,17,2,4,,sg
relation,is,are,"The lexical relation which parallels identity in the membership of two classes is of course synonymy
","The lexical relation which parallels identity in the membership of two classes [MASK] of course synonymy
",is,is,16,10,3,1,12,1,1,,sg
relation,is,are,"The lexical relation corresponding to the inclusion of one class in another is hyponymy 
","The lexical relation corresponding to the inclusion of one class in another [MASK] hyponymy 
",is,is,15,10,2,1,12,0,none,,sg
relation,is,are,"The sense relation which is analogous to the relation between classes with no members in common is incompatibility
","The sense relation which is analogous to the relation between classes with no members in common [MASK] incompatibility
",is,is,18,14,3,0,16,2,3,,sg
mechanism,is,are,"The contextual mechanism that allegedly converts horse in 16a into a temporary synonym of mare is equally operative in 17a but in spite of this 17a and b are not logically equivalent and their lack of equivalence is entirely due to residual semantic differences between horse and mare 
","The contextual mechanism that allegedly converts horse in 16a into a temporary synonym of mare [MASK] equally operative in 17a but in spite of this 17a and b are not logically equivalent and their lack of equivalence is entirely due to residual semantic differences between horse and mare 
",is,is,49,13,4,1,15,0,none,,sg
thing,is,are,"The first thing to say about the detectives him or her is that he or she need not be a professional
","The first thing to say about the detectives him or her [MASK] that he or she need not be a professional
",is,is,21,9,1,1,11,1,4,,sg
temptation,is,are,"The temptation of a book in which a high degree of identification both from intellectual curiosity and emotional involvement is necessary for the writer as much as the reader is to catch hold of some intriguing initial situation sit down at the typewriter and go racing ahead from there
","The temptation of a book in which a high degree of identification both from intellectual curiosity and emotional involvement [MASK] necessary for the writer as much as the reader is to catch hold of some intriguing initial situation sit down at the typewriter and go racing ahead from there
",is,is,49,18,5,0,19,0,none,,sg
example,is,are,"An example you would do well to learn from if this sort of book appeals to you as a potential writer is the Inspector Dover novels of Joyce Porter
","An example you would do well to learn from if this sort of book appeals to you as a potential writer [MASK] the Inspector Dover novels of Joyce Porter
",is,is,29,20,4,2,21,1,7,,sg
challenge,is,are,"The challenge which this fate represents to a child born deaf or deafened before learning language is equally difficult to grasp
","The challenge which this fate represents to a child born deaf or deafened before learning language [MASK] equally difficult to grasp
",is,is,21,15,3,4,16,0,none,,sg
readiness,is,are,"The readiness with which the American delegates impressed their character and energy upon the Congress leading its deliberations influencing its thought and even in some instances correcting its faults is a quiet but signally effective illustration of their better preparation for a more thorough practical acquaintance with the work of deliberative assemblies
","The readiness with which the American delegates impressed their character and energy upon the Congress leading its deliberations influencing its thought and even in some instances correcting its faults [MASK] a quiet but signally effective illustration of their better preparation for a more thorough practical acquaintance with the work of deliberative assemblies
",are,is,52,28,7,4,29,4,1,,sg
exercise,aims,aim,"A full-scale publicity exercise with money raising as a secondary object BDA week aims to reach the hearing community through the distribution of publicity material features on radio and television newspaper coverage and various branch activities
","A full-scale publicity exercise with money raising as a secondary object BDA week [MASK] to reach the hearing community through the distribution of publicity material features on radio and television newspaper coverage and various branch activities
",aim,aim,36,10,4,1,13,0,none,,sg
sticker,is,are,"The car sticker for display in shops symbol of the scheme is a and service industries wherever staff have been trained to communicate with people who are hard of hearing The BDA 's particular contribution to the scheme was the production of an audio visual awareness programme for use in training
","The car sticker for display in shops symbol of the scheme [MASK] a and service industries wherever staff have been trained to communicate with people who are hard of hearing The BDA 's particular contribution to the scheme was the production of an audio visual awareness programme for use in training
",is,is,51,9,5,0,11,1,5,,sg
message,was,were,"The Princess 's message to the Congress in Torquay which was read out by Dr Greenaway the retiring President was received by the deaf equivalent of loud applause the tumultuous waving of raised arms accompanied by happy smiles on all faces
","The Princess 's message to the Congress in Torquay which was read out by Dr Greenaway the retiring President [MASK] received by the deaf equivalent of loud applause the tumultuous waving of raised arms accompanied by happy smiles on all faces
",was,was,41,16,0,2,19,0,none,,sg
man,describes,describe,"The man who earned global recognitions through his book Cry Freedom describes his feelings as South Africa 's cricketers cam in from the cold
","The man who earned global recognitions through his book Cry Freedom [MASK] his feelings as South Africa 's cricketers cam in from the cold
",describes,describe,24,10,2,1,11,1,6,,sg
battle,is,are,"The constant battle between players and officials over the tempo of the modern game is like a tug-o'-war
","The constant battle between players and officials over the tempo of the modern game [MASK] like a tug-o'-war
",is,is,18,12,4,0,14,2,8,,sg
debate,rumbles,rumble,"The debate over Matthew Maynard 's appointments as vice-captain of Glamorgan rumbles on in the pubs along the  banks for the Taff Hugh Morris who was overlooked remains tactfully silent
","The debate over Matthew Maynard 's appointments as vice-captain of Glamorgan [MASK] on in the pubs along the  banks for the Taff Hugh Morris who was overlooked remains tactfully silent
",rumbles,rumbles,31,10,4,0,11,1,5,,sg
lack,was,were,"The lack of atmosphere extending even to the non-appearance of MacFinall 's cymbal-and-drum ensemble which has driven the pulse of many a West Indies advance in the past was again painfully evident as 12,000 deigned to stay away but King Dyall did at least make a cameo appearance in an outfit that for once defied description
","The lack of atmosphere extending even to the non-appearance of MacFinall 's cymbal-and-drum ensemble which has driven the pulse of many a West Indies advance in the past [MASK] again painfully evident as 12,000 deigned to stay away but King Dyall did at least make a cameo appearance in an outfit that for once defied description
",was,was,56,27,7,2,28,0,none,,sg
arrangement,is,are,"The free arrangement of boards where there 's one card slotted into the motherboard with three expansion slots on it is also awkward
","The free arrangement of boards where there 's one card slotted into the motherboard with three expansion slots on it [MASK] also awkward
",is,is,23,18,5,2,20,2,3,,sg
view,holds,hold,"The integrationist view in parallel with views on the care of other disabled groups holds that segregation brings the dangers of stigma and neglect while integration respects the wishes of the dementing to be as normal as possible brings the stimulus of normal company with consequent raising of standards and enhances the status of sufferers
","The integrationist view in parallel with views on the care of other disabled groups [MASK] that segregation brings the dangers of stigma and neglect while integration respects the wishes of the dementing to be as normal as possible brings the stimulus of normal company with consequent raising of standards and enhances the status of sufferers
",holds,holds,55,12,4,0,14,2,1,,sg
segregation,is,are,"A wider segregation in the sense of having specialised workers for the elderly as has been achieved in many local social work teams is also attractive
","A wider segregation in the sense of having specialised workers for the elderly as has been achieved in many local social work teams [MASK] also attractive
",is,is,26,21,4,2,23,2,1,,sg
role,is,are,"The prime role of the day hospital for patients with dementia The Pinel Centre is to cater for more severely dementing patients than can usually be cared for in alternative facilities particularly when behaviour disturbance is a prominent feature of the patient 's condition
","The prime role of the day hospital for patients with dementia The Pinel Centre [MASK] to cater for more severely dementing patients than can usually be cared for in alternative facilities particularly when behaviour disturbance is a prominent feature of the patient 's condition
",is,is,44,12,4,0,14,1,6,,sg
latter,responds,respond,"The latter although a mainly psychic state albeit drug induced can be mistaken for non-responsiveness because of the patient 's agitation and apparent suffering it responds rapidly to reduction in opioid dosage
","The latter although a mainly psychic state albeit drug induced can be mistaken for non-responsiveness because of the patient 's agitation and apparent suffering it [MASK] rapidly to reduction in opioid dosage
",respond,responds,32,24,4,1,25,0,none,,sg
rate,was,were,"The apparent higher percentage survival rate at two years in the under 50 group table II and in those over 80 even after exclusion of patients with prostatic disease was not significant χ 2 for trend=0.132 and 0.49 respectively
","The apparent higher percentage survival rate at two years in the under 50 group table II and in those over 80 even after exclusion of patients with prostatic disease [MASK] not significant χ 2 for trend=0.132 and 0.49 respectively
",was,was,39,24,8,0,29,2,4,,sg
latter,acknowledges,acknowledge,"This latter which is being increasingly adopted within the United Kingdom and in Europe more generally acknowledges common links in the origins of healthful and unhealthful behaviours
","This latter which is being increasingly adopted within the United Kingdom and in Europe more generally [MASK] common links in the origins of healthful and unhealthful behaviours
",acknowledges,acknowledges,27,15,0,1,16,0,none,,sg
obstacle,is,are,"A serious obstacle to the conduct of such research which is often necessarily large scale is the need to consult many ethical committees
","A serious obstacle to the conduct of such research which is often necessarily large scale [MASK] the need to consult many ethical committees
",is,is,23,13,3,0,15,0,none,,sg
view,is,are,"The view that the ethical aspects of preventive trials can only be properly considered locally is unjustified
","The view that the ethical aspects of preventive trials can only be properly considered locally [MASK] unjustified
",is,is,17,14,2,1,15,2,7,,sg
act,gives,give,"The mere act of assembling data on a range of interventions gives greater prominence to the cost effectiveness data than does the reporting of the studies individually
","The mere act of assembling data on a range of interventions [MASK] greater prominence to the cost effectiveness data than does the reporting of the studies individually
",give,give,27,9,3,1,11,2,1,,sg
mechanism,is,are,"The proposed mechanism of improvement of placental transfusion of volume and red cells is attractive
","The proposed mechanism of improvement of placental transfusion of volume and red cells [MASK] attractive
",is,is,15,11,4,1,13,1,1,,sg
practice,is,are,"The widespread practice therefore of delaying investigations in those children with very short stature for six or 12 months in order to estimate velocity is of no value
","The widespread practice therefore of delaying investigations in those children with very short stature for six or 12 months in order to estimate velocity [MASK] of no value
",is,is,28,22,6,2,24,3,6,,sg
suggestion,is,are,"The suggestion that generation of referral data should be specified in contracts is welcome but should be extended to feedback through the medical audit network rather than through management of the results of radiography referral in terms of proportions of abnormal findings
","The suggestion that generation of referral data should be specified in contracts [MASK] welcome but should be extended to feedback through the medical audit network rather than through management of the results of radiography referral in terms of proportions of abnormal findings
",are,is,42,11,3,1,12,2,1,,sg
little,suggests,suggest,"The little that has been written about private health care in developing countries suggests great variations among doctors and countries
","The little that has been written about private health care in developing countries [MASK] great variations among doctors and countries
",suggests,suggests,20,12,3,2,13,1,1,,sg
fact,is,are,"The fact that severely mentally ill people roam our streets without adequate accommodation and medical care is an inescapable indictment of our society
","The fact that severely mentally ill people roam our streets without adequate accommodation and medical care [MASK] an inescapable indictment of our society
",is,is,23,15,4,1,16,1,7,,sg
assumption,is,are,"A reasonable assumption to make on the basis of the instructions given to registrars before 1986 therefore is that most of the deaths of children classified as unoccupied will have been registered by economically inactive lone mothers
","A reasonable assumption to make on the basis of the instructions given to registrars before 1986 therefore [MASK] that most of the deaths of children classified as unoccupied will have been registered by economically inactive lone mothers
",is,is,37,15,3,2,17,2,4,,sg
picture,seems,seem,"The broad picture that emerges from a consideration of mortality in social classes I and II and IV and V in table III seems to be consistent with the notion that inequalities become progressively shallower at older age groups
","The broad picture that emerges from a consideration of mortality in social classes I and II and IV and V in table III [MASK] to be consistent with the notion that inequalities become progressively shallower at older age groups
",seems,seems,39,21,5,1,23,2,4,,sg
ratio,was,were,"The odds ratio for drop out rate in patients receiving serotonin reuptake inhibitors compared with those receiving tricyclic antidepressants was 0.95 0.86 to 1.07
","The odds ratio for drop out rate in patients receiving serotonin reuptake inhibitors compared with those receiving tricyclic antidepressants [MASK] 0.95 0.86 to 1.07
",were,were,24,17,8,4,19,4,1,,sg
recognition,suggests,suggest,"The increasing recognition that diabetes frequently coexists with other chronic diseases and may originate in early life suggests an increasing role for primary care in the management and prevention of the condition in future
","The increasing recognition that diabetes frequently coexists with other chronic diseases and may originate in early life [MASK] an increasing role for primary care in the management and prevention of the condition in future
",suggests,suggests,34,15,2,4,17,1,7,,sg
number,indicates,indicate,"The increasing number of units participating in the system also indicates an interest in the management awareness profiles
","The increasing number of units participating in the system also [MASK] an interest in the management awareness profiles
",indicates,indicates,18,8,2,2,10,1,6,,sg
number,reflects,reflect,"The larger number of cataracts recorded in the prompted group probably reflects the diligence of optometrists in noting these defects compared with doctors in the hospital diabetic clinic
","The larger number of cataracts recorded in the prompted group probably [MASK] the diligence of optometrists in noting these defects compared with doctors in the hospital diabetic clinic
",reflect,reflects,28,9,2,2,11,1,7,,sg
prevalence,was,were,"The prevalence of diabetic patients in each practice which might be taken as an indication of commitment to case finding was not significantly related to control nor was the presence of a personal list system
","The prevalence of diabetic patients in each practice which might be taken as an indication of commitment to case finding [MASK] not significantly related to control nor was the presence of a personal list system
",was,was,35,19,5,2,20,1,16,,sg
rate,was,were,"The overall infection rate as judged by finding >10 bacteria/ml of urine on a dipslide Medical Wire and Equipment Co Corsham Wiltshire was 5.0%
","The overall infection rate as judged by finding >10 bacteria/ml of urine on a dipslide Medical Wire and Equipment Co Corsham Wiltshire [MASK] 5.0%
",was,was,24,19,4,2,22,0,none,,sg
value,is,are,"The positive predictive value of a single dipslide culture in a given clinical setting such as an antenatal clinic is difficult to ascertain
","The positive predictive value of a single dipslide culture in a given clinical setting such as an antenatal clinic [MASK] difficult to ascertain
",is,is,23,16,4,1,19,0,none,,sg
age,was,were,"The age standardised prevalence of microalbuminuria defined as albumin excretion rate 20–200 µg/min by thirds of height in the European men was 4.3% in the lowest third 4.6% in the middle third and 2.5% in the highest third NS
","The age standardised prevalence of microalbuminuria defined as albumin excretion rate 20–200 µg/min by thirds of height in the European men [MASK] 4.3% in the lowest third 4.6% in the middle third and 2.5% in the highest third NS
",was,was,39,20,5,2,21,1,7,,sg
finding,suggests,suggest,"The finding that even severe depression does not lead to a lowering of blood pressure suggests that the mild depression and decreased wellbeing associated with low blood pressure in the studies referred to above is not due to a causal effect of the former on the latter which strengthens the case for the existence of a hypotensive syndrome
","The finding that even severe depression does not lead to a lowering of blood pressure [MASK] that the mild depression and decreased wellbeing associated with low blood pressure in the studies referred to above is not due to a causal effect of the former on the latter which strengthens the case for the existence of a hypotensive syndrome
",suggests,suggests,58,14,4,1,15,0,none,,sg
lesson,was,were,"The bitter lesson that Nizan learned to his costs in 1939 was that moral integrity and political reality rarely coincide
","The bitter lesson that Nizan learned to his costs in 1939 [MASK] that moral integrity and political reality rarely coincide
",was,was,20,9,1,1,11,1,3,,sg
stability,needs,need,"The emotional and political stability afforded to Nizan by his entries to the PCF in 1927 needs to be examined in the light of other factors influencing his personal development at this time
","The emotional and political stability afforded to Nizan by his entries to the PCF in 1927 [MASK] to be examined in the light of other factors influencing his personal development at this time
",need,need,33,12,1,1,16,1,6,,sg
threat,was,were,"The growing threat of fascism after Hitler 's accession to power in Germany in 1933 was to transform perceptions of the Soviet state not simply in Nizan 's mind but in the minds of a whole generation of left-wing intellectuals
","The growing threat of fascism after Hitler 's accession to power in Germany in 1933 [MASK] to transform perceptions of the Soviet state not simply in Nizan 's mind but in the minds of a whole generation of left-wing intellectuals
",was,was,40,13,3,1,15,0,none,,sg
description,was,were,"The description Nizan offers of a fascist-motivated plot against the teaching profession in France with its resonances of policing spying informing and so on was as much coloured by Nizan 's personal experience as a philosophy teacher in Bourg-en-Bresse in 1932–3 as it was informed by the experiences of the other cited teachers committed to the anti-fascist struggle and inevitably embroiled in professional persecution and legal prosecution
","The description Nizan offers of a fascist-motivated plot against the teaching profession in France with its resonances of policing spying informing and so on [MASK] as much coloured by Nizan 's personal experience as a philosophy teacher in Bourg-en-Bresse in 1932–3 as it was informed by the experiences of the other cited teachers committed to the anti-fascist struggle and inevitably embroiled in professional persecution and legal prosecution
",were,was,67,23,6,3,24,1,8,,sg
errand,was,were,"This errand of death which took Nizan to Spain for the fourth time within fourteen months was symbolically appropriate
","This errand of death which took Nizan to Spain for the fourth time within fourteen months [MASK] symbolically appropriate
",was,was,19,15,3,1,16,1,1,,sg
congress,represents,represent,"The 1930 Kharkov congress at which artistic subjectivism and individualism were denounced in favour of collective cultural production and the fostering of proletarian literature represents the high point of RAPP domination of cultural policy
","The 1930 Kharkov congress at which artistic subjectivism and individualism were denounced in favour of collective cultural production and the fostering of proletarian literature [MASK] the high point of RAPP domination of cultural policy
",represent,represents,34,21,6,1,24,0,none,,sg
impression,is,are,"This subjective impression among left-wing intellectuals such as Aragon and Nizan that the Soviet experiment would in some way resolve the contradictions of the writer/intellectual ensnared in the alienating social relations of capitalism is a key factor in explaining its attractiveness for dissident French writers in the 1930s
","This subjective impression among left-wing intellectuals such as Aragon and Nizan that the Soviet experiment would in some way resolve the contradictions of the writer/intellectual ensnared in the alienating social relations of capitalism [MASK] a key factor in explaining its attractiveness for dissident French writers in the 1930s
",is,are,48,31,7,3,33,2,12,,sg
extent,is,are,"The extent to which Nizan depicts in his novels the forces working towards socialism rom the inside is consequently an intriguing problem which can only be resolved by detailed analysis  of the texts within the context of their specific moments of production and reproduction
","The extent to which Nizan depicts in his novels the forces working towards socialism rom the inside [MASK] consequently an intriguing problem which can only be resolved by detailed analysis  of the texts within the context of their specific moments of production and reproduction
",is,is,45,16,3,2,17,2,7,,sg
fact,is,are,"The mere fact that Nizan in an important article on Chamson published in 1935 chose to give prominence to the contribution of Bukharin at the 1934 Congress is symptomatic of the fact that an acceptance of the ideological function of literature does not signal in Nizan 's eyes the complete abandonment of art to the demands of ideology
","The mere fact that Nizan in an important article on Chamson published in 1935 chose to give prominence to the contribution of Bukharin at the 1934 Congress [MASK] symptomatic of the fact that an acceptance of the ideological function of literature does not signal in Nizan 's eyes the complete abandonment of art to the demands of ideology
",is,is,58,25,3,3,27,0,none,,sg
consequence,is,are,"A further consequence of the displacement of the centre of gravity of the novels is a loss of complicity between author and fictional characters
","A further consequence of the displacement of the centre of gravity of the novels [MASK] a loss of complicity between author and fictional characters
",is,is,24,12,4,0,14,1,1,,sg
